GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TicTacToeAi,com.mycompany.tictactoeai.AILogic,MinMaxAI,107,289,27,27,26,59,21,13,1,6
TicTacToeAi,com.mycompany.tictactoeai.AILogic,Heuristic,522,163,76,20,98,17,45,12,7,2
TicTacToeAi,com.mycompany.tictactoeai.AILogic,MinMaxAIBackUp,347,0,48,0,75,0,30,0,6,0
TicTacToeAi,com.mycompany.UserInterface,UI,240,0,16,0,61,0,12,0,4,0
TicTacToeAi,com.mycompany.UserInterface,Main,39,0,0,0,9,0,2,0,2,0
TicTacToeAi,com.mycompany.UserInterface,GUI,239,0,4,0,47,0,9,0,7,0
TicTacToeAi,com.mycompany.tictactoeai.Methods,absoluteValue,0,11,0,2,0,4,0,3,0,2
TicTacToeAi,com.mycompany.tictactoeai.Methods,MinimumMaximum,0,17,0,4,0,7,0,5,0,3
TicTacToeAi,com.mycompany.tictactoeai.Methods,ArrayList,0,105,0,8,0,25,0,10,0,6
TicTacToeAi,com.mycompany.tictactoeai.BoardLogic,GameStatus,19,427,1,77,7,103,2,49,1,11
TicTacToeAi,com.mycompany.tictactoeai.BoardLogic,Board,0,219,2,30,0,40,2,21,0,7
